StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,1. Multiple choice,Q45,3. Short answer,Q46,Q47,Q49,Q48,Q50,Q51,Q52,Q53,Q54,Q55,Q57,Q56,4. Multiple choice,Q58,5. Multiple choice,Q59,6. Multiple choice,Q60,7. Multiple choice,Q61,8. Multiple choice,Q62,13.,Q63,Q64,Q65,10. Multiple choice,Q67,12.,Q68,15.,16.
2024-12-06 11:45:08,2024-12-06 11:50:43,IP Address,205.175.106.12,100,335,True,2024-12-06 11:50:44,R_7JKS6yXsz6GnhG1,,,,,47.6631,-122.3029,anonymous,EN,Yes,No,,Yes,"Observed groups of friends joking together referring to jacob staff measurements as jaking off. ",Yes,Only with words that have become sexualized out of context. IE knockers in franciscan melange,No,,No,,No,,No,,Earth Surface + Lithosphere,,"Fieldwork,Modeling/theory",,"Cenozoic (Quaternary, Neogene, Eogene)",,Graduate student,,Man or man identified,,Male,,Straight,,White,,Not Hispanic or Latinx,,usa,usa
2024-12-06 11:47:44,2024-12-06 11:51:36,IP Address,174.231.139.142,100,232,True,2024-12-06 11:51:37,R_7iTyKonyfMpuCHL,,,,,47.6034,-122.3414,anonymous,EN,Yes,No,,Yes,People describe research topics as “sexy”,Yes,Tetons,No,,No,,Yes,"Dike examples ",Yes,"“Geologists make the bed rock” and similar “joke” statements ","Earth Surface + Lithosphere,Earth and Planetary Surface Processes/Geomorphology",,"Fieldwork,Labwork,Modeling/theory",,"Cenozoic (Quaternary, Neogene, Eogene)",,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Woman or woman identified,,Female,,Straight,,White,,Not Hispanic or Latinx,,United states,"Unites states "
2024-12-06 11:41:10,2024-12-06 11:55:13,IP Address,109.150.83.178,100,843,True,2024-12-06 11:55:14,R_21G4kHQpu6zhlKN,,,,,50.7374,-3.4708,anonymous,EN,Yes,No,,No,,Yes,"Knockers, as an official geological term, was not defined with reference to anything gendered or sexual -- this was made up later. Please be careful with making up problems that don't exist. Also, describing something as a ""turn on"" doesn't necessarily refer to sex. ",No,,No,,No,,No,,"Earth and Planetary Surface Processes/Geomorphology,Geochronology,Sedimentology",,"Fieldwork,Labwork,Modeling/theory",,"Post-industrial era (post-1750 CE),Cenozoic (Quaternary, Neogene, Eogene)",,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Non-binary,,Prefer not to say,,Prefer not to say,,Prefer not to reply,,Prefer not to say,,USA,UK
2024-12-06 11:53:05,2024-12-06 11:56:17,IP Address,93.197.219.68,100,192,True,2024-12-06 11:56:17,R_2RPvRP238fCQFh5,,,,,53.0454,8.8383,anonymous,EN,Yes,No,,Yes,sexy results,No,,No,,No,,No,,No,,"Ocean Sciences,Earth and Planetary Surface Processes/Geomorphology",,Modeling/theory,,Post-industrial era (post-1750 CE),,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Woman or woman identified,,Female,,Straight,,White,,,,France,Germany
2024-12-06 11:57:22,2024-12-06 12:01:12,IP Address,210.246.24.216,100,230,True,2024-12-06 12:01:13,R_4i2H9nnabpl6RAt,,,,,-41.2971,174.7932,anonymous,EN,Yes,Yes,,No,,No,,No,,No,,No,,No,,"Cryosphere Sciences,Global Environmental Change,Ocean Sciences",,"Fieldwork,Modeling/theory",,Post-industrial era (post-1750 CE),,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Woman or woman identified,,Female,,Straight,,White,,Other,,New Zealand,New Zealand
2024-12-06 11:57:55,2024-12-06 12:01:33,IP Address,150.162.193.67,100,217,True,2024-12-06 12:01:33,R_6y3MjTpWCvjzrQ8,,,,,-27.6147,-48.4976,anonymous,EN,Yes,No,,No,,No,,No,,No,,No,,No,,Biogeosciences/Geobiology,,"Fieldwork,Labwork",,Post-industrial era (post-1750 CE),,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Man or man identified,,Male,,Straight,,White,,Hispanic or Latinx,,Brazil,Brazil
2024-12-06 11:57:24,2024-12-06 12:01:39,IP Address,65.144.113.58,100,255,True,2024-12-06 12:01:39,R_1Dy6Q46fgnB24eZ,,,,,39.7435,-105.0619,anonymous,EN,Yes,Yes,unmanned aerial systems instead of neutral term,No,,No,,No,,No,,No,,No,,"Hydrology,Earth and Planetary Surface Processes/Geomorphology",,"Fieldwork,Modeling/theory,Other",geospatial science,Post-industrial era (post-1750 CE),,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Man or man identified,,Male,,Straight,,White,,Not Hispanic or Latinx,,United States of America,United States of America
2024-12-06 11:48:55,2024-12-06 12:02:00,IP Address,130.223.248.115,100,784,True,2024-12-06 12:02:00,R_20uadkolbfICkov,,,,,46.5184,6.6436,anonymous,EN,Yes,No,,Yes,"sexy results (being french I struggle to make a difference between ""sexy results"" and ""exciting results"" as exciting is pretty much part of sexual language in french but commonly used in english)
having a geological orgasm when watching some cool geologic features (teaching context, the professor introduce this concept)",No,,No,,No,,No,,No,,"Earth Surface + Lithosphere,Geochronology",,"Fieldwork,Labwork",,"Cenozoic (Quaternary, Neogene, Eogene)",,Postdoc,,Woman or woman identified,,Female,,Straight,,White,,,,France,Switzerland
2024-12-06 11:42:59,2024-12-06 12:02:02,IP Address,139.70.146.71,100,1142,True,2024-12-06 12:02:02,R_5NU5d55LuMOahg1,,,,,37.0737,-76.4988,anonymous,EN,Yes,No,,Yes,"The only ones that I can recall hearing are descriptions of results as ""sexy"" (quite common) ",No,,No,,No,,No,,No,,"Biogeosciences/Geobiology,Earth and Planetary Surface Processes/Geomorphology",,"Fieldwork,Labwork,Modeling/theory",,"Post-industrial era (post-1750 CE),Cenozoic (Quaternary, Neogene, Eogene)",,Graduate student,,Woman or woman identified,,Female,,Straight,,White,,Not Hispanic or Latinx,,United States of America,"United States of America "
2024-12-06 11:54:44,2024-12-06 12:02:37,IP Address,143.215.16.45,100,472,True,2024-12-06 12:02:37,R_6lEKmddEmDprKO3,,,,,33.7838,-84.4455,anonymous,EN,Yes,Yes,"no specifics, but one professor used these frequently in my PhD classes",Yes,"Results as 'sexy' is the most common. ",Yes,"Brassiere west/east peaks, Squaw Valley (since changed)",No,,No,,No,,No,,"Fluid Earth + Climate,Cryosphere Sciences,Ocean Sciences",,"Fieldwork,Modeling/theory",,Post-industrial era (post-1750 CE),,Postdoc,,Man or man identified,,Male,,Straight,,White,,Not Hispanic or Latinx,,United States of America,United States of America
2024-12-06 12:01:47,2024-12-06 12:04:42,IP Address,162.224.93.36,100,175,True,2024-12-06 12:04:43,R_5lWDQymvvsb3Oil,,,,,37.3257,-120.4999,anonymous,EN,Yes,Yes,Using she/her pronouns for various geology things,Yes,,Yes,,No,,Yes,Slurs in official place names,Yes,Many dike jokes told by other lesbians,No,,Earth and Planetary Surface Processes/Geomorphology,,"Fieldwork,Labwork,Modeling/theory",,"Post-industrial era (post-1750 CE),Cenozoic (Quaternary, Neogene, Eogene)",,Other,Intern (post-grad school),Non-binary,,Female,,Gay,,White,,Not Hispanic or Latinx,,USA,USA
2024-12-06 11:57:45,2024-12-06 12:04:58,IP Address,174.196.78.197,100,433,True,2024-12-06 12:04:59,R_1R1RgBMy4ajZSX5,,,,,40.3052,-79.5418,anonymous,EN,Yes,Yes,"Ocean referred to as ""she"", mother earth, using lipstick as a metaphor ",Yes,Describing results or samples or outcrops as sexy,No,,No,,Yes,"Overheaed Calling a field site ""jap bay"" (not the official name)",Yes,"Dike jokes. Abundantly. ",No,,"Earth Surface + Lithosphere,Earth and Planetary Surface Processes/Geomorphology,Tectonophysics",,"Fieldwork,Labwork,Modeling/theory",,"Cenozoic (Quaternary, Neogene, Eogene),Pre-Cenozoic (Mesozoic, Paleozoic, Precambrian)",,Graduate student,,"Woman or woman identified,Non-binary",,Female,,"Bisexual,Pansexual",,White,,Not Hispanic or Latinx,,United States,United States
2024-12-06 11:41:48,2024-12-06 12:09:41,IP Address,130.118.62.65,100,1672,True,2024-12-06 12:09:41,R_3qmIQBVAgDd6hMo,,,,,37.0315,-122.1261,anonymous,EN,Yes,No,,Yes,"Only of the relatively innocent ""sexy results"" type. I honestly haven't heard any of the other examples. ""lubrication"" as applied to faults doesn't have to be meant sexually, it's a real geotechnical term. 
The main other obvious example I can think of was (on a field trip) some of the landforms of Tent Rocks National Monument in New Mexico being mentioned as phallic-shaped. Not by the field trip leader, but in side conversations among the group. It's, uh, pretty tough not to notice that morphology even if you're not generally prone to those types of jokes (speaking as a senior-career woman here). Not sure it's worth trying to police side comments down to that level of detail/context when standing in front of the sweeping vistas of... tent rocks. ",Yes,"I haven't run into ""eclogite knockers"" and had never thought about ""mastodon"", but some place names have obvious sexual connotations or get joked about as such. Examples from my Montana field camp area: Beaver Thrust, Dry Thrust, French Thrust... (fault names). Sure, they were named after local creeks, but then naming thrust faults after them means the jokes write themselves for people who are in that frame of mind.",No,,Yes,"Place names, sometimes. The USGS and Board on Geographic Names have recently removed a lot of offensive place names (N-word and ""squaw"" mainly; there are a lot of mountains, creeks, etc. with those names, or were until recently.) They are working on removing others but those were the top priority for a starting point.",No,,Yes,"While doing shipboard fieldwork, a technician (male and a generation older than me) once said to a (mixed male, female) group of us that a piece of geophysical equipment was running great, saying ""it runs like a raped date.""",Earth and Planetary Surface Processes/Geomorphology,,"Fieldwork,Other",Remote sensing,"Post-industrial era (post-1750 CE),Cenozoic (Quaternary, Neogene, Eogene)",,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Woman or woman identified,,Female,,Straight,,White,,Not Hispanic or Latinx,,USA,USA
2024-12-06 12:00:56,2024-12-06 12:09:52,IP Address,72.195.220.53,100,536,True,2024-12-06 12:09:54,R_6wM2eXBIn1KWca4,,,,,33.5988,-111.8795,anonymous,EN,Yes,No,,Yes,"orogeny vs erogenous
geoporn as a general term for great photographic examples",Yes,Grand Tetons,Yes,Hoodoos as phalluses,Yes,"back when I was an undergrad, hearing of a geomagnetism T-shirt ""I like to drill black dikes"". Didn't see it.",Yes,exactly the dike example,No,,Earth and Planetary Surface Processes/Geomorphology,,"Fieldwork,Labwork,Modeling/theory",,"Post-industrial era (post-1750 CE),Cenozoic (Quaternary, Neogene, Eogene)",,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Man or man identified,,Male,,Straight,,White,,Not Hispanic or Latinx,,USA,USA
2024-12-06 12:06:13,2024-12-06 12:10:42,IP Address,69.48.241.197,100,268,True,2024-12-06 12:10:43,R_3h60HNDpCaiCoFo,,,,,42.2584,-72.5745,anonymous,EN,Yes,No,,Yes,,No,,No,,Yes,,No,,Yes,,"Hydrology,Earth and Planetary Surface Processes/Geomorphology",,"Fieldwork,Labwork",,Post-industrial era (post-1750 CE),,Graduate student,,Woman or woman identified,,Female,,"Bisexual,Pansexual,Queer",,White,,Not Hispanic or Latinx,,US,US
2024-12-06 12:07:02,2024-12-06 12:11:12,IP Address,129.252.33.201,100,250,True,2024-12-06 12:11:13,R_1CzCxtOVwmWqY4p,,,,,33.998,-81.03,anonymous,EN,Yes,No,,No,,No,,No,,No,,No,,No,,Earth and Planetary Surface Processes/Geomorphology,,"Fieldwork,Labwork,Modeling/theory",,Post-industrial era (post-1750 CE),,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Woman or woman identified,,Female,,Straight,,Other,mediterranean,Not Hispanic or Latinx,,Italy,Italy/USA
2024-12-06 11:46:12,2024-12-06 12:11:47,IP Address,71.58.251.72,100,1534,True,2024-12-06 12:11:48,R_1bPgAOzPcF12Hfm,,,,,39.7837,-77.3584,anonymous,EN,Yes,No,,Yes,"Definitely have heard results described as sexy in a professional context before, a few jokes about hardness and fault thrusting as well. ",Yes,"Certainly lots of mountains named after breasts. ",No,,No,,Yes,"Not in an educational context necessarily, but certainly have heard plenty of dike jokes from peers, professors, and students in a more conversational context.",No,,"Paleoceanography and Paleoclimatology,Earth and Planetary Surface Processes/Geomorphology,Geochronology",,"Fieldwork,Labwork",,"Cenozoic (Quaternary, Neogene, Eogene)",,Graduate student,,Woman or woman identified,,Female,,Bisexual,,White,,Not Hispanic or Latinx,,USA,USA
2024-12-06 12:09:43,2024-12-06 12:12:04,IP Address,179.8.75.38,100,141,True,2024-12-06 12:12:05,R_5YzezIzJBl29ogF,,,,,-29.907,-71.2562,anonymous,EN,Yes,No,,No,,No,,No,,No,,No,,No,,Earth Surface + Lithosphere,,"Fieldwork,Modeling/theory",,"Cenozoic (Quaternary, Neogene, Eogene)",,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Prefer not to say,,Prefer not to say,,Prefer not to say,,Prefer not to reply,,Prefer not to say,,,
2024-12-06 12:04:43,2024-12-06 12:16:26,IP Address,168.5.25.31,100,703,True,2024-12-06 12:16:26,R_5DKSizkD4DPBov7,,,,,29.7228,-95.4251,anonymous,EN,Yes,Yes,"Generally speaking, I've heard earthquakes and volcanoes referred to as ""she.""",Yes,"Exact example provided above: ""That's a sexy....,"" and ""Ooh, that's a good looking...""",Yes,"Grand Teton, Chunky Gal Mountain (North Carolina); others from Idaho, Tennessee, and North Carolina that I've long forgotten.",No,,No,,No,,No,,"Geochronology,Tectonophysics",,"Fieldwork,Labwork",,"Pre-Cenozoic (Mesozoic, Paleozoic, Precambrian)",,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Man or man identified,,Male,,Straight,,White,,Not Hispanic or Latinx,,USA,USA
2024-12-06 12:07:36,2024-12-06 12:16:31,IP Address,192.195.154.98,100,535,True,2024-12-06 12:16:32,R_6XjVACNoVK7dEGZ,,,,,32.7616,-117.2058,anonymous,EN,Yes,Yes,,Yes,"definitely ""sexy data"" or results. ",Yes,"""nuclear boobs"" referring to the nuclear power plant at San Onofre is one example.",No,,No,,No,,No,,Earth and Planetary Surface Processes/Geomorphology,,"Fieldwork,Labwork,Modeling/theory",,Post-industrial era (post-1750 CE),,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Woman or woman identified,,Female,,Straight,,White,,Not Hispanic or Latinx,,USA/Germany,USA
